Room	 Module	 Group	Studnets	 Capacity	Time_Slot	Day
370	KBDIG72 COMP FORENSICS & DIG INVESTIG/L	All Groups	22-33- 36	30	09:00	Mon
0480 CR7	KBDIG72 GROUP PROJECT	All Groups	22-33- 36	16	10:00	Mon
0483 CR2	KBDIG72 ACCTG Gr A/P	A	22-33- 36	20	11:00	Mon
0480 CR7	KBDIG72 GROUP PROJECT Gr A	A	22-33- 36	16	12:00	Mon
376	KBDIG72 APPLIED DIGITAL MEDIA 2/L	All Groups	22-33- 36	30	14:00	Mon
374	KBDIG72 APPLIED DIGITAL MEDIA 2/L	All Groups	22-33- 36	30	15:00	Mon
PF18	KBDIG72 GROUP PROJECT Gr B	B	22-33- 36	16	16:00	Mon
1035	KBDIG72 PROJ MGT & COLLABORATIVE COMM/L	All Groups	22-33- 36	30	11:00	Tue
0483 CR2	KBDIG72 ACCTG Gr B/P	B	22-33- 36	20	13:00	Tue
0484 CR1	KBDIG72 COMP FORENSICS & DIG INVESTIG Gr A/P	A	22-33- 36	20	14:00	Tue
1035	KBDIG72 COMP FORENSICS & DIG INVESTIG/L	All Groups	22-33- 36	30	15:00	Tue
0483 CR2	KBDIG72 DATABASE MGMT Gr A/P	A	22-33- 36	20	09:00	Wed
0484 CR1	KBDIG72 APPLIED DIGITAL MEDIA 2 Gr A/P	A	22-33- 36	20	11:00	Wed
0480 CR7	KBDIG72 COMP FORENSICS & DIG INVESTIG Gr B/P	B	22-33- 36	20	12:00	Wed
0483 CR2	KBDIG72 PROJ MGT & COLLABORATIVE COMM Gr B/P	B	22-33- 36	20	13:00	Wed
0484 CR1	KBDIG72 PROJ MGT & COLLABORATIVE COMM Gr A/P	A	22-33- 36	20	10:00	Thur
940	KBDIG72/KSOFG72 ACCTG/L	All Groups	22-33- 36	90	12:00	Thur
938	KSOFG72/KBDIG72 ACCTG/L	All Groups	22-33- 36	50	13:00	Thur
0481 CR4	KBDIG72 APPLIED DIGITAL MEDIA 2 Gr B/P	B	22-33- 36	20	15:00	Thur
996	KBDIG72/KSOFG72 DATABASE MGMT/L	All Groups	22-33- 36	90	09:00	Fri
0484 CR1	KBDIG73 INDIVIDUAL PROJECTS	All Groups	22-33- 36	16	09:00	Mon
994	KSOFG73/KBDIG73 Database Mgmt Sys/L	All Groups	22-33- 36	90	10:00	Mon
376	KBDIG73 Dynamic Web Dev/L	All Groups	22-33- 36	30	11:00	Mon
996	KSOFG72/KBDIG73 APPLD NETWORKING TECH 2/L	All Groups	22-33- 36	90	12:00	Mon
209	KBDIG73 INDIVIDUAL PROJECTS	All Groups	22-33- 36	56	14:00	Mon
0484 CR1	KBDIG73 Dynamic Web Dev/P	All Groups	22-33- 36	16	10:00	Tue
0436 CR5 Projects/Media	KBDIG73 INDIVIDUAL PROJECTS	All Groups	22-33- 36	16	12:00	Tue
939	KSOFG72/KBDIG73 APPLD NETWORKING TECH 2/L	All Groups	22-33- 36	90	13:00	Tue
0480 CR7	KBDIG73 INDIVIDUAL PROJECTS	All Groups	22-33- 36	16	15:00	Tue
