Day,ClassId
Mon,1
Mon,2
Mon,3
Mon,4
Mon,5
Mon,6
Mon,7
Tue,8
Tue,9
Tue,10
Tue,11
Wed,12
Wed,13
Wed,14
Wed,15
Thur,16
Thur,17
Thur,18
Thur,19
Fri,20
Mon,21
Mon,22
Mon,23
Mon,24
Mon,25
Tue,26
Tue,27
Tue,28
Tue,29
Tue,30
Wed,31
Wed,32
Wed,33
Thur,34
Thur,35
Thur,36
Fri,37
Fri,38
Mon,39
Mon,40
Mon,41
Mon,42
Mon,43
Mon,44
Tue,45
Tue,46
Tue,47
Tue,48
Tue,49
Tue,50
Tue,51
Tue,52
Wed,53
Wed,54
Wed,55
Wed,56
Thur,57
Thur,58
Thur,59
Fri,60
Fri,61
Mon,62
Mon,63
Mon,64
Mon,65
Tue,66
Tue,67
Tue,68
Tue,69
Tue,70
Wed,71
Wed,72
Wed,73
Thur,74
Thur,75
Thur,76
Fri,77
Fri,78
Mon,79
Mon,80
Mon,81
Mon,82
Mon,83
Tue,84
Tue,85
Wed,86
Wed,87
Wed,88
Thur,89
Fri,90
Fri,91
Mon,92
Mon,93
Mon,94
Mon,95
Mon,96
Mon,97
Mon,98
Tue,99
Tue,100
Tue,101
Tue,102
Tue,103
Tue,104
Tue,105
Wed,106
Wed,107
Wed,108
Wed,109
Wed,110
Wed,111
Wed,112
Wed,113
Wed,114
Wed,115
Thur,116
Thur,117
Thur,118
Thur,119
Thur,120
Thur,121
Thur,122
Thur,123
Thur,124
Thur,125
Thur,126
Thur,127
Thur,128
Thur,129
Fri,130
Fri,131
Fri,132
Fri,133
Mon,134
Mon,135
Mon,136
Mon,137
Mon,138
Mon,139
Mon,140
Tue,141
Tue,142
Tue,143
Tue,144
Wed,145
Wed,146
Wed,147
Wed,148
Wed,149
Wed,150
Wed,151
Wed,152
Wed,153
Wed,154
Thur,155
Thur,156
Thur,157
Thur,158
Thur,159
Thur,160
Fri,161
Fri,162
Mon,163
Mon,164
Mon,165
Mon,166
Mon,167
Mon,168
Tue,169
Tue,170
Tue,171
Tue,172
Tue,173
Tue,174
Tue,175
Wed,176
Wed,177
Wed,178
Wed,179
Wed,180
Wed,181
Wed,182
Thur,183
Thur,184
Thur,185
Thur,186
Fri,187
Fri,188
Mon,189
Mon,190
Mon,191
Tue,192
Tue,193
Tue,194
Wed,195
Wed,196
Wed,197
Thur,198
Thur,199
Thur,200
Thur,201
Thur,202
Thur,203
Fri,204
Fri,205
