 Group,ClassId
All Groups,1
All Groups,2
A,3
A,4
All Groups,5
All Groups,6
B,7
All Groups,8
B,9
A,10
All Groups,11
A,12
A,13
B,14
B,15
A,16
All Groups,17
All Groups,18
B,19
All Groups,20
All Groups,21
All Groups,22
All Groups,23
All Groups,24
All Groups,25
All Groups,26
All Groups,27
All Groups,28
All Groups,29
All Groups,30
All Groups,31
All Groups,32
All Groups,33
All Groups,34
All Groups,35
All Groups,36
All Groups,37
All Groups,38
A,39
B,40
A,41
B,42
All Groups,43
All Groups,44
All Groups,45
All Groups,46
B,47
All Groups,48
A,49
All Groups,50
All Groups,51
All Groups,52
All Groups,53
All Groups,54
A,55
All Groups,56
B,57
All Groups,58
A,59
B,60
All Groups,61
A,62
All Groups,63
B,64
A,65
All Groups,66
All Groups,67
All Groups,68
B,69
All Groups,70
All Groups,71
All Groups,72
All Groups,73
B,74
All Groups,75
A,76
B,77
All Groups,78
All Groups,79
P,80
All Groups,81
All Groups,82
All Groups,83
All Groups,84
All Groups,85
All Groups,86
All Groups,87
All Groups,88
All Groups,89
All Groups,90
All Groups,91
E,92
A,93
All Groups,94
B,95
All Groups,96
D,97
C,98
All Groups,99
All Groups,100
All Groups,101
E,102
B,103
B,104
C,105
All Groups,106
All Groups,107
B,108
C,109
All Groups,110
All Groups,111
D,112
All Groups,113
A,114
All Groups,115
E,116
A,117
All Groups,118
A,119
D,120
C,121
D,122
C,123
B,124
B,125
A,126
D,127
E,128
All Groups,129
All Groups,130
All Groups,131
All Groups,132
All Groups,133
A,134
All Groups,135
All Groups,136
C,137
C,138
All Groups,139
All Groups,140
C,141
All Groups,142
All Groups,143
B,144
All Groups,145
C,146
B,147
A,148
B,149
All Groups,150
A,151
B,152
A,153
C,154
All Groups,155
All Groups,156
All Groups,157
All Groups,158
All Groups,159
A,160
C,161
All Groups,162
B,163
A,164
A,165
All Groups,166
All Groups,167
C,168
C,169
C,170
A,171
B,172
B,173
A,174
B,175
C,176
All Groups,177
All Groups,178
All Groups,179
All Groups,180
All Groups,181
All Groups,182
B,183
C,184
A,185
C,186
B,187
All Groups,188
All Groups,189
All Groups,190
All Groups,191
All Groups,192
A,193
B,194
All Groups,195
All Groups,196
All Groups,197
A,198
A,199
All Groups,200
B,201
A,202
B,203
A,204
B,205
