 Module	ClassId	Course_Code	Lecturer
 COMP FORENSICS & DIG INVESTIG/L	1	KBDIG72	Gemma OCallaghan
 GROUP PROJECT	2	KBDIG72	Sharon Boyle
ACCTG Gr A/P	3	KBDIG72	Sharon Boyle
GROUP PROJECT Gr A	4	KBDIG72	Sharon Boyle
APPLIED DIGITAL MEDIA 2/L	5	KBDIG72	Patrick Mannion
APPLIED DIGITAL MEDIA 2/L	6	KBDIG72	Patrick Mannion
GROUP PROJECT Gr B	7	KBDIG72	Sharon Boyle
PROJ MGT & COLLABORATIVE COMM/L	8	KBDIG72	John Farrell
ACCTG Gr B/P	9	KBDIG72	Sharon Boyle
COMP FORENSICS & DIG INVESTIG Gr A/P	10	KBDIG72	Gemma OCallaghan
COMP FORENSICS & DIG INVESTIG/L	11	KBDIG72	Gemma OCallaghan
DATABASE MGMT Gr A/P	12	KBDIG72	Deirdre ODonovan
APPLIED DIGITAL MEDIA 2 Gr A/P	13	KBDIG72	Patrick Mannion
COMP FORENSICS & DIG INVESTIG Gr B/P	14	KBDIG72	Gemma OCallaghan
PROJ MGT & COLLABORATIVE COMM Gr B/P	15	KBDIG72	John Farrell
PROJ MGT & COLLABORATIVE COMM Gr A/P	16	KBDIG72	John Farrell
ACCTG/L	17	KBDIG72	Sharon Boyle
ACCTG/L	18	KBDIG72	Sharon Boyle
APPLIED DIGITAL MEDIA 2 Gr B/P	19	KBDIG72	Patrick Mannion
DATABASE MGMT/L	20	KBDIG72	Deirdre ODonovan
INDIVIDUAL PROJECTS	21	KBDIG73	Annette Cosgrove
Database Mgmt Sys/L	22	KBDIG73	Deirdre ODonovan
Dynamic Web Dev/L	23	KBDIG73	Micheal Jackson
APPLD NETWORKING TECH 2/L	24	KBDIG73	Deirdre ODonovan
INDIVIDUAL PROJECTS	25	KBDIG73	Annette Cosgrove
Dynamic Web Dev/P	26	KBDIG73	Micheal Jackson
 INDIVIDUAL PROJECTS	27	KBDIG73	Annette Cosgrove
 APPLD NETWORKING TECH 2/L	28	KBDIG73	Deirdre ODonovan
INDIVIDUAL PROJECTS	29	KBDIG73	Annette Cosgrove
Dynamic Web Dev/L	30	KBDIG73	Micheal Jackson
APPLD NETWORKING TECH 2/P	31	KBDIG73	Deirdre ODonovan
MOBILE PROGRAMMING	32	KBDIG73	Micheal Jackson
 Database Mgmt Sys/L	33	KBDIG73	Deirdre ODonovan
INDIVIDUAL PROJECTS	34	KBDIG73	Annette Cosgrove
Database Mgmt Systems/P	35	KBDIG73	Deirdre ODonovan
 MOBILE PROGRAMMING/L	36	KBDIG73	Micheal Jackson
 Dynamic Web Dev/P	37	KBDIG73	Micheal Jackson
App. Modelling & Simulation/P	38	KBDIG73	Deirdre ODonovan
Software Development Gr A/P	39	KCDMG71	Andrew Beatty
ESSENTIAL MATHS FOR COMP 1&2 Gr B/T	40	KCDMG71	John Farrell
ESSENTIAL MATHS FOR COMP 1&2 Gr A/T	41	KCDMG71	John Farrell
 Business & Analytical Info Systems Gr B	42	KCDMG71	Andrew Beatty
Digital Naratives/L	43	KCDMG71	Laura Hegarty
Business & Analytical Info Systems/L	44	KCDMG71	Patrick Mannion
ESSENTIAL MATHS FOR COMP 1&2/L	45	KCDMG71	John Farrell
ESSENTIAL MATHS FOR COMP 1&2/L	46	KCDMG71	John Farrell
 Software Development Gr B/P	47	KCDMG71	Patrick Mannion
ESSENTIAL MATHS FOR COMP 1&2/L	48	KCDMG71	John Farrell
Business & Analytical Info Systems Gr A	49	KCDMG71	Patrick Mannion
Software Development/L	50	KCDMG71	Andrew Beatty
INTRO TO DIG. GRAPHICS& DESI./L	51	KCDMG71	John Farrell
Business & Analytical Info Systems/L	52	KCDMG71	Patrick Mannion
ESSENTIAL MATHS FOR COMP 1&2/L	53	KCDMG71	John Farrell
Digital Naratives/L	54	KCDMG71	Laura Hegarty
INTRO TO DIG. GRAPHICS& DESI Gr A/P	55	KCDMG71	John Farrell
Software Development/L	56	KCDMG71	Andrew Beatty
INTRO TO DIG. GRAPHICS& DESI Gr B/P	57	KCDMG71	John Farrell
Web Design and Development/L	58	KCDMG71	Gemma OCallaghan
Web Design and Development Gr A/P	59	KCDMG71	Gemma OCallaghan
Web Design and Development Gr B/P	60	KCDMG71	Gemma OCallaghan
ESSENTIAL MATHS FOR COMP 1&2/L	61	KCDMG71	John Farrell
Software Development Gr A/P	62	KCDMG81	Andrew Beatty
 Digital Naratives/L	63	KCDMG81	Laura Hegarty
 ESSENTIAL MATHS FOR COMP 1&2 Gr B/T	64	KCDMG81	John Farrell
ESSENTIAL MATHS FOR COMP 1&2 Gr A/T	65	KCDMG81	John Farrell
ESSENTIAL MATHS FOR COMP 1&2/L	66	KCDMG81	John Farrell
ESSENTIAL MATHS FOR COMP 1&2/L	67	KCDMG81	John Farrell
 ESSENTIAL MATHS FOR COMP 1&2/L	68	KCDMG81	John Farrell
Software Development Gr B/P	69	KCDMG81	Andrew Beatty
 Software Development/L	70	KCDMG81	Andrew Beatty
 ESSENTIAL MATHS FOR COMP 1&2/L	71	KCDMG81	John Farrell
Digital Naratives/L	72	KCDMG81	Laura Hegarty
 Software Development/L	73	KCDMG81	Andrew Beatty
INTRO TO DIG. GRAPHICS& DESI Gr B/P	74	KCDMG81	John Farrell
Web Design and Development/L	75	KCDMG81	Gemma OCallaghan
Web Design and Development Gr A/P	76	KCDMG81	Gemma OCallaghan
 Web Design and Development Gr B/P	77	KCDMG81	Gemma OCallaghan
 ESSENTIAL MATHS FOR COMP 1&2/L	78	KCDMG81	John Farrell
 Media & Tech Convergence/L	79	KCDMG84	Daniel Craigg
 Software Testing/P	80	KCDMG84	Martin Hynes
 Group Project	81	KCDMG84	Sharon Boyle
 Social Web/Digital Media Strategy/L	82	KCDMG84	Annette Cosgrove
Group Project	83	KCDMG84	Sharon Boyle
Info & Data Visualisation/L	84	KCDMG84	John Farrell
Media & Tech Convergence/P	85	KCDMG84	Daniel Craigg
Social Web/Digital Media Strategy/L	86	KCDMG84	Annette Cosgrove
Software Testing/lL	87	KCDMG84	Martin Hynes
Group Project	88	KCDMG84	Sharon Boyle
Social Web/Digital Media Strategy/L	89	KCDMG84	Annette Cosgrove
 Info & Data Visualisation/P	90	KCDMG84	John Farrell
 Group Project	91	KCDMG84	Sharon Boyle
GRAPH. USER INTERFACE&WEB; DEV E/P	92	KSOFG71	Ian McLoughlin
SOFTWARE DESIGN & PROG DEV 1 Gr A/P	93	KSOFG71	John Healy
