Room,ClassId
370,1
0480 CR7,2
0483 CR2,3
0480 CR7,4
376,5
374,6
PF18,7
1035,8
0483 CR2,9
0484 CR1,10
1035,11
0483 CR2,12
0484 CR1,13
0480 CR7,14
0483 CR2,15
0484 CR1,16
940,17
938,18
0481 CR4,19
996,20
0484 CR1,21
994,22
376,23
996,24
209,25
0484 CR1,26
0436 CR5 Projects/Media,27
939,28
0480 CR7,29
375,30
0482 CR3- 0481 CR4- 0480 CR7- 0436 CR5 Projects/Media,31
0482 CR3,32
995,33
0482 CR3,34
0484 CR1,35
368,36
0436 CR5 Projects/Media,37
0484 CR1,38
0304 CR6,39
0436 CR5 Projects/Media,40
0436 CR5 Projects/Media,41
0481 CR4,42
366,43
997,44
903,45
994,46
0483 CR2,47
994,48
0484 CR1,49
209,50
365,51
0470 Computing Practical Lab,52
994,53
366,54
0480 CR7,55
223,56
0482 CR3,57
366,58
0482 CR3,59
0483 CR2,60
941,61
0304 CR6,62
366,63
0436 CR5 Projects/Media,64
0436 CR5 Projects/Media,65
903,66
994,67
994,68
0483 CR2,69
209,70
994,71
366,72
223,73
0482 CR3,74
366,75
0482 CR3,76
0483 CR2,77
941,78
1035,79
0481 CR4,80
375,81
159,82
,83
373,84
0480 CR7,85
1033,86
939,87
944,88
PF05,89
0480 CR7,90
944,91
0480 CR7,92
0483 CR2,93
0484 CR1,94
0482 CR3,95
941,96
0481 CR4,97
0484 CR1,98
994,99
994,100
994,101
0482 CR3,102
0481 CR4,103
0484 CR1,104
0483 CR2,105
903,106
PF05,107
PF02,108
PF08 Active Learning Room,109
994,110
0483 CR2,111
373,112
0436 CR5 Projects/Media,113
0484 CR1,114
0483 CR2,115
0483 CR2,116
0483 CR2,117
941,118
PF02,119
0481 CR4,120
0436 CR5 Projects/Media,121
0480 CR7,122
0436 CR5 Projects/Media,123
0480 CR7,124
0484 CR1,125
0480 CR7,126
0481 CR4,127
0484 CR1,128
941,129
941,130
994,131
941,132
941,133
0483 CR2,134
0484 CR1- 0482 CR3- 0480 CR7,135
996,136
0436 CR5 Projects/Media,137
0436 CR5 Projects/Media,138
223,139
364,140
0480 CR7,141
940,142
939,143
0480 CR7,144
0482 CR3- 0481 CR4- 0480 CR7- 0436 CR5 Projects/Media,145
0436 CR5 Projects/Media,146
0481 CR4,147
0470 Computing Practical Lab,148
0481 CR4,149
0484 CR1,150
0484 CR1,151
0484 CR1,152
0482 CR3,153
0470 Computing Practical Lab,154
940,155
996,156
940,157
938,158
223,159
0484 CR1,160
0436 CR5 Projects/Media,161
996,162
0482 CR3,163
PF05,164
0481 CR4,165
994,166
223,167
0436 CR5 Projects/Media,168
0482 CR3,169
0436 CR5 Projects/Media,170
0470 Computing Practical Lab,171
0436 CR5 Projects/Media,172
0436 CR5 Projects/Media,173
0481 CR4,174
379,175
162,176
938,177
208,178
997,179
994,180
939,181
995,182
PF18,183
PF18,184
0436 CR5 Projects/Media,185
0483 CR2,186
0482 CR3,187
208,188
995,189
0470 Computing Practical Lab,190
379,191
0470 Computing Practical Lab,192
PF18,193
379,194
PF06,195
1033,196
0470 Computing Practical Lab,197
376,198
0482 CR3,199
1031,200
0481 CR4,201
PF18,202
PF18,203
PF18,204
PF18,205
