 Class_Size,ClassId
30,1
16,2
20,3
16,4
30,5
30,6
16,7
30,8
20,9
20,10
30,11
20,12
20,13
20,14
20,15
20,16
90,17
50,18
20,19
90,20
16,21
90,22
30,23
90,24
56,25
16,26
16,27
90,28
16,29
30,30
20,31
20,32
90,33
16,34
20,35
30,36
16,37
0,38
20,39
20,40
20,41
20,42
45,43
50,44
130,45
130,46
20,47
130,48
20,49
45,50
56,51
30,52
150,53
45,54
15,55
45,56
15,57
45,58
20,59
20,60
120,61
20,62
45,63
20,64
20,65
130,66
130,67
130,68
20,69
45,70
150,71
45,72
45,73
15,74
45,75
20,76
20,77
120,78
20,79
20,80
25,81
30,82
25,83
20,84
20,85
20,86
90,87
25,88
20,89
20,90
25,91
20,92
20,93
20,94
20,95
120,96
20,97
20,98
90,99
130,100
120,101
20,102
20,103
20,104
20,105
87,106
20,107
18,108
18,109
150,110
20,111
18,112
20,113
20,114
20,115
20,116
20,117
120,118
18,119
20,120
20,121
20,122
20,123
20,124
20,125
20,126
20,127
20,128
120,129
90,130
120,131
120,132
120,133
20,134
16,135
90,136
20,137
20,138
60,139
50,140
20,141
70,142
90,143
20,144
0,145
20,146
20,147
16,148
20,149
20,150
20,151
20,152
20,153
20,154
50,155
50,156
90,157
50,158
60,159
20,160
20,161
90,162
20,163
16,164
16,165
90,166
60,167
20,168
16,169
20,170
23,171
16,172
20,173
20,174
16,175
16,176
60,177
65,178
60,179
90,180
90,181
90,182
23,183
23,184
20,185
20,186
20,187
60,188
38,189
10,190
10,191
35,192
15,193
7,194
10,195
4,196
5,197
20,198
20,199
10,200
20,201
25,202
25,203
20,204
18,205
