Room, Module, Group, Capacity, Classes
0483 CR2,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr E/P,E,4-16- 22-33- 36,20
0483 CR2,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr A/P,A,4-16- 22-33- 36,20
0941,KSOFG71 E-BUSINESS ADMIN/L,All Groups,4-16- 22-33- 36,120
PF02,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr A/T,A,4-16- 22-33- 36,18
0481 CR4,KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr D/P,D,4-16- 22-33- 36,20
0436 CR5 Projects/Media,KSOFG71 COMP TECH Gr C/P,C,22-33- 36,20
0480 CR7,KSOFG71 COMP TECH Gr D/P,D,22-33- 36,20
0436 CR5 Projects/Media,KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr C/P,C,4-16- 22-33- 36,20
0480 CR7,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr B/P,B,4-16- 22-33- 36,20
0484 CR1,KSOFG71 COMP TECH Gr B/P,B,22-33- 36,20
0480 CR7,KSOFG71 COMP TECH Gr A/P,A,22-33- 36,20
0481 CR4,KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2 Gr D/T,D,22-33- 36,20
0484 CR1,KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2 Gr E/T,E,22-33- 36,20
0941,KSOFG71 COMP TECH/L,All Groups,22-33- 36,120
