Room, Module, Group, Capacity, Classes
0903,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1/L,All Groups,22-26- 28-33- 36,87
PF05,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr E/T,All Groups,4-16- 22-33- 36,20
PF02,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr B/T,B,4-16- 22-33- 36,18
PF08 Active Learning Room,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr C/T,C,4-16- 22-33- 36,18
0994,KCDMG71/KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L,All Groups,22-33- 36,150
0483 CR2,KSOFG71 COMP TECH Gr E/P,All Groups,22-33- 36,20
0373,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr D/T,D,22-33- 36,18
0436 CR5 Projects/Media,KSOFG71 GRAPH. USER INTERFACE&WEB; DEV A/P,All Groups,22-33- 36,20
0482 CR3- 0481 CR4- 0480 CR7- 0436 CR5 Projects/Media,KSOFG2/KBDIG3 Assessment,All Groups,33,0
0484 CR1,KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2 Gr A/T,A,22-33- 36,20
0483 CR2,KSOFG71 GRAPH. USER INTERFACE&WEB; DEV D/P,All Groups,22-33- 36,20
